,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NATIONAL BANK OF CANADA,0.0,6.548864928405379e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8248579916628502e-18,0.0,0.0,2.0001781535006128e-18,0.0,4.906886091326749e-19,0.0,1.0420114693555993e-18,0.0
OBSIDIAN ENERGY,0.0,4.1735715902836065e-19,4.261074348814718e-18,0.0,2.771446980173627e-18,2.4956699907163487e-18,0.0,3.720318363129176e-18,0.0,2.925371711329185e-18,2.5169761838010005e-18,3.2705197062772438e-18,7.717055960791972e-18,0.0,0.0,3.305938753185981e-18,0.0,0.0
ONEX,0.0,4.566888366403181e-19,0.0,1.6484456935173092e-19,0.0,0.0,0.0,0.0,0.0,0.0,3.8921724208137174e-18,0.0,0.005714853771183172,0.01856288309936664,0.02451104143074361,0.02251317996986187,0.0,2.775002421519716e-19
OPEN TEXT (NAS),4.231117982921475e-19,0.0,0.0,1.396246459248528e-18,1.9360701731996253e-18,2.2518831584829295e-20,0.0,0.0,0.0,1.5136191770220944e-18,0.0,0.0,0.0,0.032070191767720434,0.029578068118583815,0.0,3.645276063606927e-19,1.2342688650384379e-18
PAN AMERICAN SILVER,0.0,3.0814908169326334e-18,0.0,7.388905660795409e-19,0.0,0.0,0.0,3.054254673519591e-18,6.512954813376177e-18,0.0,1.4297379819326826e-18,5.674221646632063e-19,0.0,0.0,1.916388674273828e-18,8.466936320840757e-19,1.4452287425324994e-18,4.4326470162769884e-18
POWER CORP.CANADA,0.0,1.373325905214673e-18,0.0,0.0,4.425708160154367e-18,6.0505561284393465e-18,1.47868691758225e-18,0.0,0.0,0.0,6.402555034990801e-18,0.0,0.0,4.620642812649951e-19,0.0,0.0,0.0,0.0
PRECISION DRILLING,6.963625287232328e-19,9.589281939826779e-19,0.0,1.5754132437625768e-19,1.4282210005188135e-18,6.665869435197303e-18,7.503724959282351e-18,9.4553250861563e-19,0.0,0.0,7.09538991268557e-18,1.210974808516428e-18,1.4719681436304158e-18,0.0,3.6474337026978105e-18,0.0,1.3710421754383845e-18,0.0
RB GLOBAL (NYS),0.02815359140458309,0.013729747897499181,0.0,0.022623534681169656,0.00905181819002058,1.7577475408667684e-19,0.0,0.0,0.0,9.660004887348897e-19,5.647435440466046e-19,3.633821533494165e-18,0.005352819377618037,0.012280563923501136,0.0013680904117567144,0.01901789735116264,0.0,9.871854930047195e-19
RIOCAN REIT.TST.,1.0566087914432225e-18,0.0,0.0,3.9633642514160326e-19,2.3214880920033136e-18,5.363659470116203e-19,0.0,0.0,0.0,0.0,7.383213204989964e-19,0.0,2.0856285960713553e-19,0.0,0.0,2.5286707513213167e-19,1.0262673956217709e-18,2.1002895887610375e-19
ROGERS COMMS.'B',0.0,3.474436812703488e-18,0.0,1.963013923312888e-18,6.584602801858372e-19,0.0,4.03319258623726e-18,0.0,0.0,1.3082943092908391e-18,2.1165014619679148e-18,0.0,1.3403290077502142e-18,2.037924610318102e-18,0.0,0.0,4.005567410473087e-18,0.0
